Churn,customer_tenure,account_Contract,internet_InternetService,internet_TechSupport,account_Charges_Monthly,account_PaymentMethod,account_PaperlessBilling,customer_SeniorCitizen
No,9,One year,DSL,Yes,65.6,Mailed check,Yes,0
No,9,Month-to-month,DSL,No,59.9,Mailed check,No,0
Yes,4,Month-to-month,Fiber optic,No,73.9,Electronic check,Yes,0
Yes,13,Month-to-month,Fiber optic,No,98.0,Electronic check,Yes,1
Yes,3,Month-to-month,Fiber optic,Yes,83.9,Mailed check,Yes,1
No,9,Month-to-month,DSL,Yes,69.4,Credit card (automatic),Yes,0
No,71,Two year,Fiber optic,Yes,109.7,Bank transfer (automatic),Yes,1
No,63,Two year,Fiber optic,Yes,84.65,Credit card (automatic),Yes,0
No,7,Month-to-month,DSL,No,48.2,Electronic check,Yes,1
No,65,Two year,DSL,Yes,90.45,Mailed check,Yes,0
No,54,Two year,DSL,Yes,45.2,Credit card (automatic),No,0
No,72,Two year,Fiber optic,Yes,116.8,Credit card (automatic),Yes,0
No,5,Month-to-month,Fiber optic,No,68.95,Electronic check,Yes,0
No,72,Two year,Fiber optic,No,101.3,Bank transfer (automatic),Yes,0
No,56,Two year,DSL,Yes,45.05,Bank transfer (automatic),No,0
No,71,Two year,Fiber optic,No,95.75,Credit card (automatic),Yes,0
No,34,One year,DSL,Yes,61.25,Mailed check,No,0
No,1,Month-to-month,Fiber optic,No,72.1,Electronic check,Yes,1
Yes,45,One year,DSL,No,62.7,Credit card (automatic),No,1
Yes,1,Month-to-month,DSL,No,25.1,Electronic check,Yes,1
No,50,One year,No,No internet service,25.2,Electronic check,No,1
Yes,13,Month-to-month,Fiber optic,No,94.1,Electronic check,No,0
No,23,Month-to-month,Fiber optic,No,83.75,Electronic check,Yes,0
No,3,Month-to-month,No,No internet service,19.85,Mailed check,No,0
Yes,4,Month-to-month,No,No internet service,20.35,Mailed check,No,0
Yes,1,Month-to-month,DSL,No,30.5,Bank transfer (automatic),No,0
No,55,One year,Fiber optic,Yes,103.7,Bank transfer (automatic),Yes,0
No,54,Two year,No,No internet service,20.4,Credit card (automatic),No,0
No,26,One year,No,No internet service,19.6,Bank transfer (automatic),Yes,0
No,69,Two year,No,No internet service,19.7,Bank transfer (automatic),No,0
No,37,One year,Fiber optic,No,91.2,Credit card (automatic),No,0
No,49,One year,No,No internet service,20.45,Bank transfer (automatic),No,0
No,66,One year,Fiber optic,Yes,115.8,Bank transfer (automatic),No,0
No,67,One year,No,No internet service,20.55,Electronic check,No,0
No,20,Two year,DSL,Yes,39.4,Credit card (automatic),Yes,0
No,43,Two year,No,No internet service,25.1,Electronic check,Yes,0
No,55,Month-to-month,Fiber optic,No,89.8,Bank transfer (automatic),Yes,0
No,59,Month-to-month,Fiber optic,No,94.75,Electronic check,Yes,0
No,12,Two year,No,No internet service,20.3,Bank transfer (automatic),No,0
No,27,Month-to-month,Fiber optic,No,75.75,Bank transfer (automatic),Yes,0
Yes,2,Month-to-month,DSL,No,49.25,Electronic check,Yes,1
No,27,One year,DSL,Yes,78.2,Mailed check,No,0
No,25,Two year,No,No internet service,25.5,Credit card (automatic),No,0
