Churn,customer_tenure,account_Contract,internet_InternetService,internet_TechSupport,account_Charges_Monthly,account_PaymentMethod,account_PaperlessBilling,customer_SeniorCitizen,Cuentas_Diarias
No,9,One year,DSL,Yes,65.6,Mailed check,Yes,0,2.1866666666666665
No,9,Month-to-month,DSL,No,59.9,Mailed check,No,0,1.9966666666666666
Yes,4,Month-to-month,Fiber optic,No,73.9,Electronic check,Yes,0,2.4633333333333334
Yes,13,Month-to-month,Fiber optic,No,98.0,Electronic check,Yes,1,3.2666666666666666
Yes,3,Month-to-month,Fiber optic,Yes,83.9,Mailed check,Yes,1,2.796666666666667
No,9,Month-to-month,DSL,Yes,69.4,Credit card (automatic),Yes,0,2.3133333333333335
No,71,Two year,Fiber optic,Yes,109.7,Bank transfer (automatic),Yes,1,3.6566666666666667
No,63,Two year,Fiber optic,Yes,84.65,Credit card (automatic),Yes,0,2.8216666666666668
No,7,Month-to-month,DSL,No,48.2,Electronic check,Yes,1,1.6066666666666667
No,65,Two year,DSL,Yes,90.45,Mailed check,Yes,0,3.015
No,54,Two year,DSL,Yes,45.2,Credit card (automatic),No,0,1.5066666666666668
No,72,Two year,Fiber optic,Yes,116.8,Credit card (automatic),Yes,0,3.893333333333333
No,5,Month-to-month,Fiber optic,No,68.95,Electronic check,Yes,0,2.2983333333333333
No,72,Two year,Fiber optic,No,101.3,Bank transfer (automatic),Yes,0,3.3766666666666665
No,56,Two year,DSL,Yes,45.05,Bank transfer (automatic),No,0,1.5016666666666665
No,71,Two year,Fiber optic,No,95.75,Credit card (automatic),Yes,0,3.191666666666667
No,34,One year,DSL,Yes,61.25,Mailed check,No,0,2.0416666666666665
No,1,Month-to-month,Fiber optic,No,72.1,Electronic check,Yes,1,2.4033333333333333
Yes,45,One year,DSL,No,62.7,Credit card (automatic),No,1,2.0900000000000003
Yes,1,Month-to-month,DSL,No,25.1,Electronic check,Yes,1,0.8366666666666667
No,50,One year,No,No internet service,25.2,Electronic check,No,1,0.84
Yes,13,Month-to-month,Fiber optic,No,94.1,Electronic check,No,0,3.1366666666666663
No,23,Month-to-month,Fiber optic,No,83.75,Electronic check,Yes,0,2.7916666666666665
No,3,Month-to-month,No,No internet service,19.85,Mailed check,No,0,0.6616666666666667
Yes,4,Month-to-month,No,No internet service,20.35,Mailed check,No,0,0.6783333333333333
Yes,1,Month-to-month,DSL,No,30.5,Bank transfer (automatic),No,0,1.0166666666666666
No,55,One year,Fiber optic,Yes,103.7,Bank transfer (automatic),Yes,0,3.4566666666666666
No,54,Two year,No,No internet service,20.4,Credit card (automatic),No,0,0.6799999999999999
No,26,One year,No,No internet service,19.6,Bank transfer (automatic),Yes,0,0.6533333333333334
No,69,Two year,No,No internet service,19.7,Bank transfer (automatic),No,0,0.6566666666666666
No,37,One year,Fiber optic,No,91.2,Credit card (automatic),No,0,3.04
No,49,One year,No,No internet service,20.45,Bank transfer (automatic),No,0,0.6816666666666666
No,66,One year,Fiber optic,Yes,115.8,Bank transfer (automatic),No,0,3.86
